Sample	command
brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_1.fq.gz --in2 brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_2.fq.gz --out1 brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1.fq.gz --in2 brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_2.fq.gz --out1 brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_12_CKDL190139954-1a-D702-AK1682_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1.fq.gz --in2 brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_2.fq.gz --out1 brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_13_CKDL190139954-1a-DY0088-AK1682_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1.fq.gz --in2 brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_2.fq.gz --out1 brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_14_CKDL190139954-1a-D704-AK1682_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1.fq.gz --in2 brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_2.fq.gz --out1 brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_15_CKDL190139954-1a-D705-AK1682_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1.fq.gz --in2 brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_2.fq.gz --out1 brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_16_CKDL190139954-1a-D701-AK1780_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1.fq.gz --in2 brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_2.fq.gz --out1 brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_17_CKDL190139954-1a-D702-AK1780_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1.fq.gz --in2 brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_2.fq.gz --out1 brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_18_CKDL190139954-1a-DY0088-AK1780_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1.fq.gz --in2 brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_2.fq.gz --out1 brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_19_CKDL190139954-1a-D704-AK1780_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1.fq.gz --in2 brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_2.fq.gz --out1 brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_1_CKDL190139954-1a-D701-AK1680_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1.fq.gz --in2 brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_2.fq.gz --out1 brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_20_CKDL190139954-1a-D705-AK1780_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1	/home1/alanxu/fastp --in1 brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1.fq.gz --in2 brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_2.fq.gz --out1 brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1_trimmed.fq.gz --out2 brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_2_trimmed.fq.gz --failed_out fail_reads.out --detect_adapter_for_pe 
