Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-filtering_result_passed_filter_reads	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
brain_2_CKDL190139954-1a-D702-AK1680_H3WF3BBXX_L6_1			32.5192	0.968938	11992342522.0	107263428.0	0.542827	98.64908053000693	67.88686388114577
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6	51.46	5727348.0							
brain_3_CKDL190139954-1a-DY0088-AK1680_H3WF3BBXX_L6_1			24.1798	0.967726	2405800727.0	22260080.0	0.545773	98.46609310594737	68.22303135757802
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6	58.11	7148367.0							
brain_4_CKDL190139954-1a-D704-AK1680_H3WF3BBXX_L6_1			17.9097	0.969875	2448294731.0	24603490.0	0.534093	97.83012546405062	75.72512457257083
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6	51.76	4485690.0							
brain_5_CKDL190139954-1a-D705-AK1680_H3WF3BBXX_L6_1			18.5006	0.970123	1678578264.0	17331880.0	0.548262	97.73727506229582	76.18801348797268
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6	47.17	5163227.0							
brain_6_CKDL190139954-1a-D701-AK1681_H3WF3BBXX_L6_1			29.941200000000002	0.968653	2558775539.0	21890156.0	0.578318	97.88338197060872	63.119195174495445
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6	57.98	7057079.0							
brain_7_CKDL190139954-1a-D702-AK1681_H3WF3BBXX_L6_1			21.7164	0.96666	2722167745.0	24344780.0	0.528612	98.3127211955258	65.74944046653593
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6	56.57	6264365.0							
brain_8_CKDL190139954-1a-DY0088-AK1681_H3WF3BBXX_L6_1			22.2304	0.968194	2433365281.0	22145476.0	0.530221	98.48080010317027	66.20188908307429
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6	52.96	7266975.0							
brain_9_CKDL190139954-1a-D704-AK1681_H3WF3BBXX_L6_1			21.9999	0.971485	2793793503.0	27443348.0	0.552926	98.16093739984801	75.27144769432923
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5	43.37	7095730.0							
muscle_10_CKDL190139953-1a-D708-AK1545_H3WF3BBXX_L5_1			41.0826	0.967911	4162198193.0	32722676.0	0.594507	98.44974193655143	52.25307517461215
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5	47.2	7028529.0							
muscle_11_CKDL190139953-1a-D709-AK1545_H3WF3BBXX_L5_1			45.104699999999994	0.969186	3766700583.0	29784952.0	0.590468	98.69774437266207	54.3115658037164
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5	45.53	9217261.0							
muscle_12_CKDL190139953-1a-D710-AK1545_H3WF3BBXX_L5_1			39.7482	0.968633	5106647813.0	40486392.0	0.588331	98.52430102228618	52.75102221075333
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5	44.22	6684609.0							
muscle_13_CKDL190139953-1a-D711-AK1545_H3WF3BBXX_L5_1			39.5698	0.967128	3838122954.0	30230080.0	0.610444	98.49028444622607	50.5662378153212
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5	44.61	8518882.0							
muscle_14_CKDL190139953-1a-D712-AK1545_H3WF3BBXX_L5_1			42.1899	0.966848	5033277539.0	38193220.0	0.586599	98.3081864227326	39.59011799539867
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5	44.27	7721757.0							
muscle_15_CKDL190139953-1a-D708-AK1546_H3WF3BBXX_L5_1			36.553000000000004	0.970196	3929734096.0	34883466.0	0.612825	96.4673504843795	69.16392079136074
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5	49.55	8171935.0							
muscle_16_CKDL190139953-1a-D709-AK1546_H3WF3BBXX_L5_1			38.3601	0.967537	4235870363.0	32985798.0	0.599362	98.29301773212607	47.61353544801192
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5	51.28	7149167.0							
muscle_17_CKDL190139953-1a-D710-AK1546_H3WF3BBXX_L5_1			36.2495	0.968964	3372686386.0	27885176.0	0.595323	97.89973136637742	61.71554144301011
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5	49.34	9216814.0							
muscle_18_CKDL190139953-1a-D711-AK1546_H3WF3BBXX_L5_1			40.7057	0.96575	4773159167.0	37361012.0	0.591088	98.21246071016516	49.020538623974495
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5	49.89	8360229.0							
muscle_19_CKDL190139953-1a-D712-AK1546_H3WF3BBXX_L5_1			40.3878	0.968564	4223981349.0	33514796.0	0.595743	97.88044255371643	53.39031120533599
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5	45.76	10606962.0							
muscle_1_CKDL190139953-1a-D708-AK1543_H3WF3BBXX_L5_1			41.9916	0.965685	5997426117.0	46354492.0	0.618717	98.34796104228128	44.5076978729408
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5	45.33	8109095.0							
muscle_2_CKDL190139953-1a-D709-AK1543_H3WF3BBXX_L5_1			40.931200000000004	0.967713	4609984620.0	35779628.0	0.618894	98.57076958950495	49.010549110462556
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5	46.56	9325834.0							
muscle_3_CKDL190139953-1a-D710-AK1543_H3WF3BBXX_L5_1			41.084900000000005	0.967725	5110390007.0	40060054.0	0.607857	98.5844463976465	51.62994618369442
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5	44.16	8867329.0							
muscle_4_CKDL190139953-1a-D711-AK1543_H3WF3BBXX_L5_1			42.3647	0.965052	5196091770.0	40163624.0	0.626027	98.17801852688669	43.38304173719519
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5	43.22	7378945.0							
muscle_5_CKDL190139953-1a-D712-AK1543_H3WF3BBXX_L5_1			38.908	0.968703	4285426716.0	34145822.0	0.616498	98.47886762728429	55.8614814510599
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5	58.87	4909685.0							
muscle_6_CKDL190139953-1a-D708-AK1544_H3WF3BBXX_L5_1			49.9845	0.964276	1942333162.0	16680900.0	0.564674	94.16026725622415	56.12315791981162
muscle_7_CKDL190139953-1a-D710-AK1544_H3WF3BBXX_L5	42.68	8467801.0							
