Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_1	60.321664776278524	52.0	150.0	150	45.45454545454545	16644251.0
Heart_4_CKDL190139952-1a-D704-AK1680_H3WF3BBXX_L4_2	58.21568608990031	51.0	150.0	150	45.45454545454545	16644251.0
Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_1	54.31707381472267	50.0	150.0	150	45.45454545454545	15885302.0
Heart_5_CKDL190139952-1a-D705-AK1680_H3WF3BBXX_L4_2	53.007998527535136	50.0	150.0	150	45.45454545454545	15885302.0
Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_1	65.25251556968325	53.0	150.0	150	45.45454545454545	17371903.0
Heart_6_CKDL190139952-1a-D701-AK1681_H3WF3BBXX_L4_2	63.36115314893354	53.0	150.0	150	36.36363636363637	17371903.0
Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_1	67.00048434189563	55.0	150.0	150	45.45454545454545	18424293.0
Heart_7_CKDL190139952-1a-D702-AK1681_H3WF3BBXX_L4_2	64.86394344219926	54.0	150.0	150	45.45454545454545	18424293.0
Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_1	59.26552560379774	53.0	150.0	150	36.36363636363637	16746701.0
Heart_8_CKDL190139952-1a-DY0088-AK1681_H3WF3BBXX_L4_2	57.618045719225634	53.0	150.0	150	36.36363636363637	16746701.0
Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_1	67.58943828072577	57.0	150.0	150	36.36363636363637	21135592.0
Heart_9_CKDL190139952-1a-D704-AK1681_H3WF3BBXX_L4_2	65.65266437444832	57.0	150.0	150	36.36363636363637	21135592.0
brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_1	48.87026888067862	54.0	150.0	150	27.27272727272727	11633159.0
brain_10_CKDL190139954-1a-D705-AK1681_H3WF3BBXX_L6_2	48.92073910851751	54.0	150.0	150	36.36363636363637	11633159.0
brain_11_CKDL190139954-1a-D701-AK1682_H3WF3BBXX_L6_1	52.290981935048755	54.0	150.0	150	36.36363636363637	10837613.0
